paper_id	0	1	2	3	4	decision
"https://openreview.net/forum?id=yBziKkZQNv4
"	Weak Reject	Strong Reject	Weak Accept	Weak Accept		
"https://openreview.net/forum?id=ViMZd3hBrMt
"	Weak Reject	Weak Accept	Weak Accept	Weak Reject		
"https://openreview.net/forum?id=j2ug4tTZS1_
"	Weak Reject	Weak Accept	Weak Accept	Weak Reject		
"https://openreview.net/forum?id=aQnn9cIVTRJ
"	Weak Reject	Strong Reject	Strong Accept	Weak Reject	Strong Accept	
"https://openreview.net/forum?id=zNB_UVj5oKQ
"	Weak Accept	Strong Accept	Weak Accept	Weak Accept		
"https://openreview.net/forum?id=nKwW6EwqVSU
"	Weak Accept	Weak Reject	Weak Reject	Weak Reject		
"https://openreview.net/forum?id=tJE1Yyi8fUX
"	Weak Reject	Weak Accept	Weak Accept	Weak Reject		
"https://openreview.net/forum?id=uECYlJtfRl8
"	Weak Accept	Strong Reject	Strong Reject	Weak Accept		
"https://openreview.net/forum?id=oLLOSt3zV4
"	Weak Accept	Weak Reject	Weak Accept			
"https://openreview.net/forum?id=Bio9ECFTPwo
"	Weak Accept	Weak Reject	Strong Reject	Strong Reject		
"https://openreview.net/forum?id=lSPhZbpqPVB
"	Strong Reject	Weak Accept	Strong Reject			
"https://openreview.net/forum?id=PZiKO7mjC43
"	Strong Accept	Weak Reject	Strong Reject	Weak Accept		
"https://openreview.net/forum?id=sK2aWU7X9b8
"	Strong Accept	Weak Accept	Weak Accept	Weak Accept		
"https://openreview.net/forum?id=X6CjiTWVRVr
"	Weak Reject	Weak Reject	Weak Accept	Strong Accept		
"https://openreview.net/forum?id=lV-rNbXVSaO
"	Weak Accept	Weak Reject	Weak Accept			
"https://openreview.net/forum?id=_8DoIe8G3t
"	Strong Accept	Weak Reject	Strong Accept	Strong Accept		
"https://openreview.net/forum?id=UAA5bNospA0
"	Weak Reject	Weak Accept	Strong Accept	Weak Reject		
"https://openreview.net/forum?id=AQuW-MqjLJ6
"	Weak Reject	Weak Reject	Weak Reject	Weak Accept		
"https://openreview.net/forum?id=cF1dxVGxic-
"	Weak Accept	Strong Reject	Strong Accept	Weak Reject		
"https://openreview.net/forum?id=diUiv7K_fNX
"	Weak Reject	Weak Accept	Weak Reject	Strong Reject		
"https://openreview.net/forum?id=52uzsIGV32_
"	Weak Accept	Strong Reject	Weak Accept	Strong Accept		
"https://openreview.net/forum?id=A12nd105kFr
"	Weak Reject	Weak Reject	Weak Accept	Weak Reject		
"https://openreview.net/forum?id=MQegnKN-2BT
"	Weak Reject	Weak Accept	Weak Reject	Weak Reject		
"https://openreview.net/forum?id=d-JYso87y6s
"	Strong Accept	Weak Accept	Weak Accept	Strong Accept		
"https://openreview.net/forum?id=Rpm6sH2b7ds
"	Strong Reject	Weak Reject	Weak Reject	Strong Reject		
"https://openreview.net/forum?id=4nt6RUGmILw
"	Strong Accept	Weak Accept	Weak Accept	Weak Reject		
"https://openreview.net/forum?id=Q-gbWPnITUS
"	Weak Accept	Strong Reject	Weak Reject	Strong Reject		
"https://openreview.net/forum?id=0GfCsQ844u3
"	Weak Reject	Weak Reject	Strong Reject	Weak Accept		
"https://openreview.net/forum?id=sKtFu9geVmu
"	Weak Reject	Strong Reject	Weak Reject	Strong Reject		
"https://openreview.net/forum?id=VMiZGhgSVN
"	Weak Reject	Strong Reject	Weak Reject	Weak Reject		
"https://openreview.net/forum?id=BNnbRxg40mP
"	Weak Accept	Weak Reject	Weak Reject	Strong Reject		
"https://openreview.net/forum?id=ED0G14V3WeH
"	Weak Reject	Weak Accept	Weak Reject	Weak Accept		
"https://openreview.net/forum?id=mRNGQ3sz6OV
"	Strong Reject	Weak Accept	Weak Accept			
"https://openreview.net/forum?id=c-i-GknS78Z
"	Weak Accept	Strong Reject	Weak Reject	Strong Reject		
"https://openreview.net/forum?id=rtYYwFKuz6b
"	Strong Reject	Strong Reject	Weak Reject	Weak Reject		
"https://openreview.net/forum?id=GhPIjzrjgAs
"	Weak Accept	Weak Reject	Weak Accept	Weak Reject		
"https://openreview.net/forum?id=OIaJRUo5UXy
"	Weak Reject	Weak Accept	Weak Accept	Strong Accept		
